Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
MAGA,517,0,0.00,0,0.00,35.85,517,0
SFIG,510,0,0.00,0,0.00,47.46,510,0
PWS,502,0,0.00,0,0.00,30.72,502,0
FMAR,499,0,0.00,0,0.00,30.20,499,0
XDAT,490,0,0.00,0,0.00,16.33,490,0
AGT,482,0,0.00,0,0.00,21.30,282,200
PSFD,480,0,0.00,0,0.00,21.56,480,0
EFAD,471,0,0.00,0,0.00,34.65,471,0
IEFN,471,0,0.00,0,0.00,27.68,471,0
QMOM,463,0,0.00,0,0.00,42.74,363,100
PSMC,452,0,0.00,0,0.00,12.18,452,0
BUFD,451,0,0.00,0,0.00,19.49,358,93
EFNL,448,24,54.95,1,34.14,34.55,448,0
FIBR,441,4,92.50,0,0.00,85.73,441,0
NAPR,434,0,0.00,0,0.00,34.25,234,200
BOSS,418,0,0.00,0,0.00,22.74,418,0
RTAI,418,0,0.00,0,0.00,22.10,418,0
FDEV,415,0,0.00,0,0.00,23.65,415,0
IEIH,410,0,0.00,0,0.00,32.97,410,0
VFMV,410,0,0.00,0,0.00,96.59,410,0
UMAR,400,0,0.00,0,0.00,28.04,200,200
JUNZ,379,0,0.00,0,0.00,23.39,379,0
EOPS,371,0,0.00,0,0.00,13.98,371,0
TOKE,363,0,0.00,0,0.00,8.07,363,0
UAUG,352,0,0.00,0,0.00,26.96,352,0
IBHF,349,0,0.00,0,0.00,22.17,349,0
EWGS,343,0,0.00,0,0.00,55.32,343,0
FFSG,343,0,0.00,0,0.00,30.52,343,0
GDMN,320,0,0.00,0,0.00,22.59,320,0
PXUS,318,0,0.00,0,0.00,20.28,318,0
CSM,314,0,0.00,0,0.00,44.85,314,0
FSMO,313,0,0.00,0,0.00,19.01,313,0
ALFA,307,0,0.00,0,0.00,52.63,307,0
BUYZ,306,0,0.00,0,0.00,20.60,306,0
BUFT,300,0,0.00,0,0.00,18.52,300,0
PLRG,300,0,0.00,0,0.00,23.17,300,0
BJUN,289,0,0.00,0,0.00,29.84,289,0
EAOA,285,0,0.00,0,0.00,27.93,285,0
FOCT,280,0,0.00,0,0.00,31.61,280,0
AUGZ,268,0,0.00,0,0.00,29.77,268,0
PBND,267,0,0.00,0,0.00,22.77,267,0
NJAN,265,0,0.00,0,0.00,35.47,265,0
FLV,256,0,0.00,0,0.00,56.86,256,0
XBAP,250,0,0.00,0,0.00,24.57,250,0
FLHY,247,0,0.00,0,0.00,22.02,247,0
GSID,247,0,0.00,0,0.00,44.96,247,0
CTRU,239,0,0.00,0,0.00,12.39,239,0
IQM,222,0,0.00,0,0.00,33.87,222,0
PEX,212,0,0.00,0,0.00,26.44,212,0
IBMQ,210,0,0.00,0,0.00,25.03,210,0
WFIG,207,0,0.00,0,0.00,45.18,207,0
FEDX,205,0,0.00,0,0.00,25.58,205,0
HEET,204,0,0.00,0,0.00,21.38,204,0
GEMD,203,0,0.00,0,0.00,40.35,203,0
NOVZ,201,0,0.00,0,0.00,29.02,201,0
FPAG,200,0,0.00,0,0.00,20.29,200,0
IBHH,200,0,0.00,0,0.00,22.20,200,0
PSMB,200,0,0.00,0,0.00,14.64,200,0
WLDR,200,0,0.00,0,0.00,22.20,200,0
YMAR,199,0,0.00,0,0.00,18.03,199,0
PSMG,196,0,0.00,0,0.00,16.18,196,0
DFRA,189,0,0.00,0,0.00,24.31,189,0
IPDP,182,0,0.00,0,0.00,12.83,182,0
BBSA,173,0,0.00,0,0.00,48.07,173,0
IZRL,173,0,0.00,0,0.00,18.60,173,0
UJAN,171,0,0.00,0,0.00,29.11,68,103
GCLN,170,0,0.00,0,0.00,37.46,170,0
FMAG,169,0,0.00,0,0.00,18.67,169,0
FSEP,164,0,0.00,0,0.00,32.04,106,58
ESG,160,0,0.00,100,50.00,89.78,160,0
OUSM,145,0,0.00,0,0.00,31.63,145,0
WBAT,133,0,0.00,0,0.00,35.07,133,0
AFIF,131,0,0.00,0,0.00,8.84,131,0
FNOV,130,0,0.00,0,0.00,34.01,130,0
FDHT,129,0,0.00,0,0.00,18.62,29,100
GLOV,115,0,0.00,0,0.00,37.33,115,0
TMDV,114,0,0.00,0,0.00,44.19,114,0
FFTI,112,0,0.00,0,0.00,21.25,112,0
XBOC,108,0,0.00,0,0.00,22.46,108,0
HAUS,107,0,0.00,0,0.00,17.68,107,0
EAOM,101,0,0.00,0,0.00,24.87,101,0
KWT,101,0,0.00,0,0.00,35.54,101,0
DBJA,100,0,0.00,0,0.00,24.38,100,0
FRNW,100,0,0.00,0,0.00,21.08,100,0
GSEE,100,0,0.00,0,0.00,41.65,100,0
MBCC,100,0,0.00,0,0.00,22.60,100,0
PSCJ,100,0,0.00,0,0.00,19.28,100,0
XEMD,100,0,0.00,0,0.00,39.74,100,0
RESE,99,0,0.00,0,0.00,28.67,99,0
